session_id,total_questions,repeated_questions,repetition_rate,comprehension_score
007f8050-cf2c-4b98-9d66-5c7cc8049a08,1,0,0.0,1.0
03e73192-cb07-432f-90d1-bb640d1f78fb,1,0,0.0,1.0
0b39f64f-6cb5-4765-9d4f-e647c023cc7f,1,0,0.0,1.0
0e941532-d43d-4f06-8857-aca92c1c1e2a,1,0,0.0,1.0
1c584563-5265-4d0a-912d-5451530bea10,1,0,0.0,1.0
1e1c2533-a719-4dbd-8894-5beea597213b,2,0,0.0,1.0
1f0a9b80-1625-48bf-84d6-e2ef4a910de2,1,0,0.0,1.0
1f3d4fd1-85fc-4740-9813-87343e62c7ab,1,0,0.0,1.0
21ecb69c-f01f-4cdf-9e78-984359e1ed69,1,1,1.0,0.0
22b32ff6-2deb-4292-8e2c-f8664203ae47,1,0,0.0,1.0
23e22d2c-065a-4dc2-9cb3-ee07c8049c17,1,0,0.0,1.0
23fcb14b-ee69-4537-904d-41a2048a1248,1,0,0.0,1.0
264442b6-7b1d-4292-8587-d742420594e0,1,0,0.0,1.0
279b8940-03d3-4f06-a161-03d116df9372,1,0,0.0,1.0
281a8dc4-1cb1-4e4f-a823-094ccafa63ab,1,0,0.0,1.0
2967fbe4-3f6f-43e5-8dd5-81c874e1465a,1,0,0.0,1.0
29f9416b-1e5d-4f23-8927-2c2b033785aa,1,0,0.0,1.0
2dce023e-f220-4b5d-9a2f-85daf9e92d9e,1,0,0.0,1.0
2e9221ec-72d4-49b8-840e-23baddb6e4e8,1,0,0.0,1.0
30552682-5b0a-488f-95cb-aab3f46513f5,1,0,0.0,1.0
30c71728-47e3-4375-96b5-f2e7e234f2af,1,0,0.0,1.0
31ab2a6c-8251-4cfe-8f52-c0d0c6721f2c,1,0,0.0,1.0
3251d3fc-015e-40b3-9a15-fdd2bb9bcfd4,1,0,0.0,1.0
36580634-acc8-4e12-b168-364f8e8598a7,1,0,0.0,1.0
36e534f1-bd7e-449e-98ad-0034b27f72b4,1,0,0.0,1.0
36f39950-d222-486f-a435-55ea6fb9aa23,1,0,0.0,1.0
3c872780-598d-40bc-9799-8a9a4a62a25a,1,0,0.0,1.0
3e4ce50d-e2e1-4d7f-8316-b1fc16985be3,12,0,0.0,1.0
4191683e-31eb-4b40-a2b0-649bd8ff178a,1,0,0.0,1.0
4530558f-d9a9-4226-972e-8f87243240d9,1,0,0.0,1.0
457a0679-3e99-452f-b355-2ba4b34e11cd,1,0,0.0,1.0
457da225-ec50-4c73-8fa2-35737e6933bf,1,0,0.0,1.0
458b42e3-33ad-4a0b-8127-893e62012217,3,0,0.0,1.0
45af299e-94a4-4b44-a842-756c59396156,1,0,0.0,1.0
489ff45a-7afc-4e23-a3b3-9e0ddbf38e1c,1,0,0.0,1.0
49c66c9e-bc41-4850-b994-3efaabb84fcd,7,0,0.0,1.0
4a3ba0fa-722f-4dab-97ae-eb8d6e80e977,4,0,0.0,1.0
4bed8e4a-439f-4e1d-a099-d81d0fff50ca,1,1,1.0,0.0
4db7655f-6653-47e8-8582-c6ab2216067b,1,0,0.0,1.0
4e0539eb-6311-4965-a9ee-39ad6c8f449d,1,0,0.0,1.0
537cb35f-831e-431a-8359-e83cfa10e200,1,0,0.0,1.0
5804e584-3cfa-443b-bfaa-70095e18fe67,1,0,0.0,1.0
5abfc8de-09d2-4ac3-bd77-d96c9769bc54,1,1,1.0,0.0
5d7a714b-ff03-493b-9a07-415943a0296c,1,0,0.0,1.0
60b12705-d92f-4892-af0a-a4f6ebecb3c7,1,1,1.0,0.0
617c2c62-87f1-4a7c-81e5-5724867fa22e,1,0,0.0,1.0
64def0b0-5cb4-4ebb-b681-70ad1c966a60,1,0,0.0,1.0
6790ce80-c73e-4885-80ea-124c03015dff,1,0,0.0,1.0
68aae927-6575-4700-a0f7-6a99c8694332,1,0,0.0,1.0
6d7a3cf6-3291-40ce-b3a2-6c64aaae54f8,1,0,0.0,1.0
6e5b92fe-b4e7-40ce-8a6e-ca602a970c36,1,0,0.0,1.0
7028590b-7d9f-4759-859d-45a6b374223a,1,0,0.0,1.0
71968b7a-e871-4770-884b-766f2dab6de4,1,0,0.0,1.0
72315a30-a5a7-47a1-99d9-809e7be52c87,1,1,1.0,0.0
72b93266-75be-4f6b-8674-2d4462fab01e,1,0,0.0,1.0
72bf9ff1-8f46-4874-93bf-1f4c89e0a044,1,0,0.0,1.0
746133e5-780b-44b1-a19e-375e1e31cce6,1,0,0.0,1.0
784f8f91-06e0-4147-9b64-97306b439021,3,1,0.3333333333333333,0.5
